日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/11/03,97190219,24506690764,255.0,256.5,250.0,251.5,-6.0,112031,
114/11/04,95832447,23802735472,252.0,255.0,244.0,244.0,-7.5,112749,
114/11/05,114664242,27783011433,239.0,248.5,237.0,247.0,3.0,102625,
114/11/06,65794425,16345639683,249.5,250.5,246.0,248.0,1.0,54035,
114/11/07,50319199,12385551288,246.0,250.5,244.0,244.0,-4.0,55005,
114/11/10,51628691,12765449635,245.0,250.0,244.0,249.5,5.5,41416,
114/11/11,50821377,12670099307,251.0,252.0,246.5,246.5,-3.0,50065,
114/11/12,65085447,16260745721,248.0,252.0,245.0,251.0,4.5,48915,
114/11/13,90541908,22755846470,256.0,256.0,247.0,252.0,1.0,67939,
114/11/14,112889692,27463897255,246.5,247.0,241.0,241.0,-11.0,136154,
114/11/17,84874596,20140677581,241.0,242.0,235.0,236.0,-5.0,85770,
114/11/18,77859170,18076847443,231.5,237.0,230.0,230.0,-6.0,92234,
114/11/19,70909837,16178869413,226.5,230.0,226.5,229.0,-1.0,72522,
114/11/20,78464576,18508648331,237.0,238.0,232.5,236.5,7.5,54773,
114/11/21,97471576,22084882032,226.0,229.5,225.0,225.0,-11.5,119688,
114/11/24,100270276,22226945000,226.5,227.0,220.0,220.0,-5.0,90400,
114/11/25,73643136,16338521691,225.0,226.0,219.0,219.0,-1.0,61366,
114/11/26,68461990,15412792724,221.0,228.0,221.0,227.0,8.0,51731,
114/11/27,63038658,14475516970,229.0,232.0,226.0,231.0,4.0,54522,
114/11/28,56939840,12896392543,229.5,229.5,225.0,225.5,-5.5,59159,
