日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/06/01,732234,19214933,26.2,26.5,26.0,26.05,0.15,452,
111/06/02,444797,11526075,26.05,26.2,25.8,25.95,-0.1,284,
111/06/06,561407,14805013,26.3,26.7,26.05,26.15,0.2,403,
111/06/07,333246,8658604,26.2,26.25,25.8,25.8,-0.35,260,
111/06/08,4881572,127650764,26.0,26.45,25.45,26.25,0.45,1321,
111/06/09,886344,22818142,25.9,26.1,25.6,25.65,-0.6,571,
111/06/10,585935,14846677,25.5,25.55,25.25,25.3,-0.35,383,
111/06/13,593776,14799310,24.85,25.05,24.85,24.85,-0.45,359,
111/06/14,529985,13096546,24.85,25.2,24.55,24.8,-0.05,373,
111/06/15,255260,6354816,25.0,25.15,24.7,24.8,0.0,259,
111/06/16,523850,12852531,25.15,25.15,24.2,24.2,-0.6,537,
111/06/17,633357,14988872,24.0,24.0,23.45,23.7,-0.5,919,
111/06/20,1397536,31239328,23.35,23.65,21.4,21.6,-2.1,1065,
111/06/21,663940,14845787,21.5,22.95,21.5,22.8,1.2,508,
111/06/22,562489,12449412,22.85,22.9,21.8,21.85,-0.95,468,
111/06/23,588701,12827821,21.9,22.3,21.3,21.6,-0.25,406,
111/06/24,492022,10970745,21.7,22.6,21.7,22.3,0.7,369,
111/06/27,439261,10100545,22.55,23.2,22.55,23.15,0.85,331,
111/06/28,480113,11134320,23.1,23.4,22.9,23.25,0.1,388,
111/06/29,242492,5512360,23.0,23.05,22.5,22.55,-0.7,218,
111/06/30,575966,12474368,22.9,22.9,21.4,21.45,-1.1,464,
